Beyond Active and Passive Investing: The Customization of Finance,https://rpc.cfainstitute.org/research/foundation/2024/beyond-active-and-passive-investing
Investment Model Validation: A Guide for Practitioners,https://rpc.cfainstitute.org/research/foundation/2024/investment-model-validation
The Economics of Private Equity: A Critical Review,https://rpc.cfainstitute.org/research/foundation/2024/economics-of-private-equity
"Investment Horizon, Serial Correlation, and Better (Retirement) Portfolios",https://rpc.cfainstitute.org/research/foundation/2024/investment-horizon-serial-correlation-better-portfolios
Valuation Handbook -- International Guide to Cost of Capital: 2023 Summary Edition,https://rpc.cfainstitute.org/research/foundation/2024/valuation-handbook-2023
An Introduction to Alternative Credit,https://rpc.cfainstitute.org/research/foundation/2024/an-introduction-to-alternative-credit
Lifetime Financial Advice: A Personalized Optimal Multilevel Approach,https://rpc.cfainstitute.org/research/foundation/2024/lifetime-financial-advice-a-personalized-optimal-multilevel-approach
Revisiting the Equity Risk Premium,https://rpc.cfainstitute.org/research/foundation/2023/revisiting-equity-risk-premium-2021
Handbook of Artificial Intelligence and Big Data Applications in Investments,https://rpc.cfainstitute.org/research/foundation/2023/ai-and-big-data-in-investments-handbook
Valuation Handbook -- International Guide to Cost of Capital: 2022 Summary Edition,https://rpc.cfainstitute.org/research/foundation/2022/igcc-summary-edition-2022
"ESG Investment Outcomes, Performance Evaluation, and Attribution",https://rpc.cfainstitute.org/research/foundation/2022/esg-investment-outcomes-performance-evaluation-and-attribution
Middle East Capital Markets: Challenges and Opportunities,https://rpc.cfainstitute.org/research/foundation/2022/rfbr-middle-east-capital-markets
Managing Material Risk,https://rpc.cfainstitute.org/research/foundation/2022/rfbr-managing-material-risk
Stock Buyback Motivations and Consequences: A Literature Review,https://rpc.cfainstitute.org/research/foundation/2022/rflr-stock-buybacks
Investment Luminaries and Their Insights: 25 Years of the Research Foundation Vertin Award,https://rpc.cfainstitute.org/research/foundation/2021/twenty-five-years-rf-vertin-award
"Puzzles of Inflation, Money, and Debt: Applying the Fiscal Theory of the Price Level",https://rpc.cfainstitute.org/research/foundation/2021/puzzles-of-inflation-money-debt
Valuation Handbook -- International Guide to Cost of Capital: 2021 Summary Edition,https://rpc.cfainstitute.org/research/foundation/2021/igcc-2021-summary-edition
Defined Contribution Plans: Challenges and Opportunities for Plan Sponsors,https://rpc.cfainstitute.org/research/foundation/2021/defined-contribution-plans
The Incredible Upside-Down Fixed-Income Market,https://rpc.cfainstitute.org/research/foundation/2021/negative-interest-rates
The Emerging Asia Pacific Capital Markets: Challenges and Opportunities,https://rpc.cfainstitute.org/research/foundation/2021/apac-capital-markets
Capitalism for Everyone,https://rpc.cfainstitute.org/research/foundation/2021/capitalism-for-everyone
"Stocks, Bonds, Bills, and Inflation(r) (SBBI(r)): 2021 Summary Edition",https://rpc.cfainstitute.org/research/foundation/2021/sbbi-2021-summary-edition
"Geo-Economics: The Interplay between Geopolitics, Economics, and Investments",https://rpc.cfainstitute.org/research/foundation/2021/geo-economics
Bursting the Bubble: Rationality in a Seemingly Irrational Market,https://rpc.cfainstitute.org/research/foundation/2021/bursting-the-bubble
"Cryptoassets: The Guide to Bitcoin, Blockchain, and Cryptocurrency for Investment Professionals",https://rpc.cfainstitute.org/research/foundation/2021/cryptoassets
Learning about Risk Management: Insights from Unconventional Risk-Takers,https://rpc.cfainstitute.org/research/foundation/2020/learning-about-risk-management
